,BioSample,SRA,bin_amoxicillin-clavulanic acid,mic_amoxicillin-clavulanic acid,bin_ampicillin,mic_ampicillin,bin_azithromycin,mic_azithromycin,bin_cefoxitin,mic_cefoxitin,bin_ceftiofur,mic_ceftiofur,bin_ceftriaxone,mic_ceftriaxone,bin_chloramphenicol,mic_chloramphenicol,bin_ciprofloxacin,mic_ciprofloxacin,bin_gentamicin,mic_gentamicin,bin_kanamycin,mic_kanamycin,bin_nalidixic acid,mic_nalidixic acid,bin_streptomycin,mic_streptomycin,bin_sulfisoxazole,mic_sulfisoxazole,bin_tetracycline,mic_tetracycline,bin_trimethoprim-sulfamethoxazole,mic_trimethoprim-sulfamethoxazole,CFSAN,bin_amikacin,mic_amikacin,bin_sulfamethoxazole,mic_sulfamethoxazole,bin_meropenem,mic_meropenem,EDLB-CDC,bin_colistin,mic_colistin,bin_tigecycline,mic_tigecycline,bin_imipenem,mic_imipenem,bin_nitrofurantoin,mic_nitrofurantoin,bin_cefuroxime,mic_cefuroxime,bin_cefepime,mic_cefepime,bin_ertapenem,mic_ertapenem,bin_amoxicillin,mic_amoxicillin,bin_ticarcillin,mic_ticarcillin,bin_cefalotin,mic_cefalotin,bin_cefotaxime,mic_cefotaxime,bin_sulfonamide,mic_sulfonamide,bin_ceftazidime,mic_ceftazidime,bin_ampicillin-sulbactam,mic_ampicillin-sulbactam,bin_doripenem,mic_doripenem,bin_levofloxacin,mic_levofloxacin,bin_piperacillin-tazobactam,mic_piperacillin-tazobactam,bin_cefazolin,mic_cefazolin,bin_tobramycin,mic_tobramycin,bin_moxifloxacin,mic_moxifloxacin,bin_aztreonam,mic_aztreonam,bin_ceftazidime-avibactam,mic_ceftazidime-avibactam,bin_ceftolozane-tazobactam,mic_ceftolozane-tazobactam,bin_erythromycin,mic_erythromycin,bin_minocycline,mic_minocycline,bin_polymyxin B,mic_polymyxin B
0,SAMN05210256,SRS1493007,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.25,1.0,32.0,0.0,0.5,0.0,0.5,0.0,8.0,0.0,16.0,1.0,64.0,1.0,256.0,1.0,32.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SAMN05210136,SRS1493008,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.25,1.0,32.0,0.0,0.5,0.0,0.5,0.0,8.0,0.0,16.0,1.0,64.0,1.0,256.0,1.0,32.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SAMN04256112,SRS1261557,1.0,32.0,1.0,32.0,,,1.0,32.0,1.0,8.0,1.0,16.0,0.0,4.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,1.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,CFSAN042010,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SAMN04256111,SRS1247077,0.0,1.0,0.0,1.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,2.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,CFSAN042009,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SAMN04256110,SRS1218651,0.0,1.0,0.0,1.0,,,0.0,1.0,0.0,0.5,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,2.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,CFSAN042008,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SAMN04256109,SRS1246240,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,1.0,64.0,0.0,64.0,1.0,32.0,0.0,0.125,CFSAN042007,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SAMN04256108,SRS1245979,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,0.5,0.0,0.25,0.0,4.0,0.0,0.015,1.0,16.0,0.0,8.0,0.0,2.0,0.0,32.0,1.0,256.0,0.0,4.0,0.0,0.125,CFSAN042006,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SAMN04256107,SRS1218643,,16.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,,8.0,0.0,8.0,0.0,2.0,1.0,64.0,1.0,256.0,0.0,4.0,0.0,0.125,CFSAN042005,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SAMN04256106,SRS1254598,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,0.5,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,2.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.125,CFSAN042004,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SAMN04256105,SRS1218647,1.0,32.0,1.0,32.0,,,1.0,32.0,1.0,8.0,1.0,8.0,0.0,4.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,2.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.125,CFSAN042003,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SAMN04256104,SRS1279131,1.0,32.0,1.0,32.0,,,1.0,32.0,1.0,8.0,1.0,8.0,0.0,4.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,2.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.125,CFSAN042002,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
