ClusterNumber	ClusterRepresentative
1	AP019692.1.fa
2	CP043662.1.fa
3	AP020332.1.fa
4	CP004027.1.fa
5	CP044181.1.fa
6	CP028314.1.fa
7	CP039496.1.fa
8	CP006055.1.fa
9	CP039713.1.fa
10	CP007216.2.fa
11	CP040646.1.fa
12	CP033345.1.fa
13	CP029039.1.fa
14	CP041184.1.fa
15	CP007532.1.fa
16	CP007533.1.fa
17	CP012833.1.fa
18	CP025555.1.fa
19	CP041208.1.fa
20	CP009565.1.fa
21	CP025230.1.fa
22	CP025454.1.fa
23	CP033343.1.fa
24	CP063708.1.fa
25	CP019196.1.fa
26	CP035547.1.fa
27	CP012151.1.fa
28	CP012344.2.fa
29	CP019412.1.fa
30	CP012347.1.fa
31	CP012349.1.fa
32	CP012597.1.fa
33	CP012599.1.fa
34	CP041005.1.fa
35	CP060169.1.fa
36	CP039576.1.fa
37	CP014620.1.fa
38	CP014621.2.fa
39	CP014659.2.fa
40	CP014983.1.fa
41	CP025736.1.fa
42	CP041026.1.fa
43	CP014996.1.fa
44	CP015574.1.fa
45	CP015724.1.fa
46	CP015923.1.fa
47	CP015924.1.fa
48	CP019404.1.fa
49	CP016014.1.fa
50	CP016357.1.fa
51	CP052837.1.fa
52	CP016837.1.fa
53	CP017720.1.fa
54	CP017723.1.fa
55	CP017727.1.fa
56	CP040379.1.fa
57	CP017971.1.fa
58	CP037893.1.fa
59	CP017978.1.fa
60	CP019035.1.fa
61	CP019116.1.fa
62	CP019206.1.fa
63	CP019174.1.fa
64	CP063330.1.fa
65	CP019178.1.fa
66	CP063756.1.fa
67	CP019181.1.fa
68	CP019183.1.fa
69	CP019184.1.fa
70	CP023508.1.fa
71	CP020718.1.fa
72	CP019189.1.fa
73	CP019192.1.fa
74	CP033344.1.fa
75	CP019198.1.fa
76	CP019201.1.fa
77	CP019202.1.fa
78	CP019405.1.fa
79	CP019406.1.fa
80	CP019408.1.fa
81	CP019409.1.fa
82	CP019410.1.fa
83	CP025276.1.fa
84	CP019413.1.fa
85	CP019414.1.fa
86	CP019416.1.fa
87	CP019417.1.fa
88	CP022497.1.fa
89	CP050728.1.fa
90	CP045947.1.fa
91	CP020492.1.fa
92	CP020565.1.fa
93	CP040651.1.fa
94	CP060165.1.fa
95	CP022015.1.fa
96	CP022034.1.fa
97	CP022069.2.fa
98	CP022116.1.fa
99	CP022117.1.fa
100	CP022138.1.fa
101	CP034773.1.fa
102	CP022491.1.fa
103	CP022494.1.fa
104	CP022500.1.fa
105	CP022503.1.fa
106	CP045063.1.fa
107	CP022663.1.fa
108	CP022963.1.fa
109	CP023166.1.fa
110	CP023512.1.fa
111	CP024168.1.fa
112	CP024165.1.fa
113	CP025094.1.fa
114	CP034232.1.fa
115	CP025232.1.fa
116	CP025248.1.fa
117	CP032817.1.fa
118	CP025280.1.fa
119	CP037917.1.fa
120	CP039279.1.fa
121	CP026609.1.fa
122	CP052777.1.fa
123	CP027677.1.fa
124	CP050779.1.fa
125	CP033340.1.fa
126	CP028169.1.fa
127	CP033360.1.fa
128	CP028196.1.fa
129	CP028900.1.fa
130	CP029038.1.fa
131	CP029041.1.fa
132	CP029486.1.fa
133	CP039856.1.fa
134	CP029840.1.fa
135	CP030749.1.fa
136	CP046429.1.fa
137	CP032194.1.fa
138	CP032444.1.fa
139	CP060132.1.fa
140	CP034233.1.fa
141	CP036166.1.fa
142	CP036167.1.fa
143	CP036168.1.fa
144	CP044957.1.fa
145	CP037891.1.fa
146	CP037894.1.fa
147	CP062225.1.fa
148	CP038233.1.fa
149	CP038595.1.fa
150	CP039270.1.fa
151	CP039277.1.fa
152	CP039436.1.fa
153	CP039437.1.fa
154	CP039572.1.fa
155	CP051267.1.fa
156	CP040900.1.fa
157	CP042438.1.fa
158	CP042441.1.fa
159	CP042442.1.fa
160	CP042443.1.fa
161	CP043027.1.fa
162	CP043222.1.fa
163	CP043509.1.fa
164	CP044177.1.fa
165	CP044184.1.fa
166	CP044186.1.fa
167	CP044188.1.fa
168	CP045038.1.fa
169	CP045444.1.fa
170	CP045518.1.fa
171	CP045464.1.fa
172	CP045831.1.fa
173	CP045945.1.fa
174	CP045952.1.fa
175	CP045954.1.fa
176	CP045955.1.fa
177	CP045956.1.fa
178	CP045958.1.fa
179	CP046277.1.fa
180	CP046278.1.fa
181	CP046279.1.fa
182	CP046280.1.fa
183	CP046291.1.fa
184	CP048301.1.fa
185	CP049981.1.fa
186	CP049312.1.fa
187	CP049313.1.fa
188	CP049873.1.fa
189	CP049874.1.fa
190	CP049882.1.fa
191	CP050739.1.fa
192	CP050783.1.fa
193	CP050968.1.fa
194	CP050990.1.fa
195	CP052796.1.fa
196	CP054897.1.fa
197	CP054901.1.fa
198	CP062004.1.fa
199	CP061049.1.fa
200	CP062220.1.fa
